question	answer	class
Carl and the Passions changed band name to what	Beach Boys	1
Carl and the Passions changed band name to what	Freshwater Snails	0
Carl and the Passions changed band name to what	Moustaches	0
Carl and the Passions changed band name to what	Hydra	0
How many rings on the Olympic flag	Five	1
How many rings on the Olympic flag	Mexican	0
How many rings on the Olympic flag	Hawk or Falcon	0
How many rings on the Olympic flag	Helsinki	0
What colour is vermilion a shade of	Red	1
What colour is vermilion a shade of	Mexico	0
What colour is vermilion a shade of	Place that smells bad	0
What colour is vermilion a shade of	Anita Loos	0
King Zog ruled which country	Albania	1
King Zog ruled which country	Barometer	0
King Zog ruled which country	Fart	0
King Zog ruled which country	Bear	0
What colour is Spock's blood	Green	1
What colour is Spock's blood	A Small Rabbit	0
What colour is Spock's blood	Robert Baden Powell	0
What colour is Spock's blood	Poetry	0
Where in your body is your patella	Knee ( it's the kneecap )	1
Where in your body is your patella	Bullfighter	0
Where in your body is your patella	Table Tennis	0
Where in your body is your patella	Fidel Castro	0
Where can you find London bridge today	USA ( Arizona )	1
Where can you find London bridge today	B	0
Where can you find London bridge today	Underground railway	0
Where can you find London bridge today	Literature	0
What spirit is mixed with ginger beer in a Moscow mule	Vodka	1
What spirit is mixed with ginger beer in a Moscow mule	Pioneer 10	0
What spirit is mixed with ginger beer in a Moscow mule	Pudenda	0
What spirit is mixed with ginger beer in a Moscow mule	Dutch Schultz	0
Who was the first man in space	Yuri Gagarin	1
Who was the first man in space	Poison Ivy	0
Who was the first man in space	Cyprus	0
Who was the first man in space	A Payphone	0
What would you do with a Yashmak	Wear it  -  it's an Arab veil	1
What would you do with a Yashmak	I love you California	0
What would you do with a Yashmak	Captain Nemo	0
What would you do with a Yashmak	Camels	0
Who betrayed Jesus to the Romans	Judas Escariot	1
Who betrayed Jesus to the Romans	Johnnie Walker	0
Who betrayed Jesus to the Romans	Humunuku Apua'a	0
Who betrayed Jesus to the Romans	Harley Davidson	0
Which animal lays eggs	Duck billed platypus	1
Which animal lays eggs	Rome	0
Which animal lays eggs	China	0
Which animal lays eggs	Salt	0
On television what was Flipper	Dolphin	1
On television what was Flipper	Nuts	0
On television what was Flipper	A Spinning wheel	0
On television what was Flipper	Pisa	0
Who's band was The Quarrymen	John Lenon	1
Who's band was The Quarrymen	Wicker	0
Who's band was The Quarrymen	Testicles - balls to you	0
Who's band was The Quarrymen	Germany	0
Which was the most successful Grand National horse	Red Rum	1
Which was the most successful Grand National horse	John F Kennedy	0
Which was the most successful Grand National horse	Oil Well	0
Which was the most successful Grand National horse	Tethered Doves	0
Who starred as the Six Million Dollar Man	Lee Majors	1
Who starred as the Six Million Dollar Man	Lie	0
Who starred as the Six Million Dollar Man	Refrigerators	0
Who starred as the Six Million Dollar Man	The Hare	0
In the song Waltzing Matilda - What is a Jumbuck	Sheep	1
In the song Waltzing Matilda - What is a Jumbuck	Lose their leaves in winter	0
In the song Waltzing Matilda - What is a Jumbuck	A Rabbit	0
In the song Waltzing Matilda - What is a Jumbuck	Mr Sanders	0
Who was Dan Dare's greatest enemy in the Eagle	Mekon	1
Who was Dan Dare's greatest enemy in the Eagle	Jean Francis Millet	0
Who was Dan Dare's greatest enemy in the Eagle	Hotbot	0
Who was Dan Dare's greatest enemy in the Eagle	Peanut Butter	0
What is Dick Grayson better known as	Robin (Batman and Robin) 	1
What is Dick Grayson better known as	Mulligatawny	0
What is Dick Grayson better known as	Robert Stack	0
What is Dick Grayson better known as	TV ads 7000 cereals	0
What was given on the fourth day of Christmas	Calling birds	1
What was given on the fourth day of Christmas	Camels	0
What was given on the fourth day of Christmas	Rat	0
What was given on the fourth day of Christmas	Father	0
What was Skippy ( on TV )	The bush kangaroo	1
What was Skippy ( on TV )	Clint Eastwood	0
What was Skippy ( on TV )	Piles	0
What was Skippy ( on TV )	Earl Grey Hot	0
What does a funambulist do	Tightrope walker	1
What does a funambulist do	Jersey Jo Walcott	0
What does a funambulist do	Spot	0
What does a funambulist do	DV	0
What is the name of Dennis the Menace's dog	Gnasher	1
What is the name of Dennis the Menace's dog	Croquet	0
What is the name of Dennis the Menace's dog	Barrister	0
What is the name of Dennis the Menace's dog	Vietnam currency	0
What are bactrians and dromedaries	Camels (one hump or two)	1
What are bactrians and dromedaries	He was Blind	0
What are bactrians and dromedaries	Iris	0
What are bactrians and dromedaries	Twelfth Night	0
Who played The Fugitive	David Jason	1
Who played The Fugitive	Touch his testicles	0
Who played The Fugitive	Baked Beans	0
Who played The Fugitive	Mulligatawny	0
Who was the King of Swing	Benny Goodman	1
Who was the King of Swing	Gideons	0
Who was the King of Swing	Volcano	0
Who was the King of Swing	As ?	0
Who was the first man to fly across the channel	Louis Bleriot	1
Who was the first man to fly across the channel	Denmark	0
Who was the first man to fly across the channel	Male deer's antlers	0
Who was the first man to fly across the channel	Blood Groups	0
Who starred as Rocky Balboa	Sylvester Stallone	1
Who starred as Rocky Balboa	Poland	0
Who starred as Rocky Balboa	Lightning strikes	0
Who starred as Rocky Balboa	Jedi Knight	0
In which war was the charge of the Light Brigade	Crimean	1
In which war was the charge of the Light Brigade	Barbie Dolls	0
In which war was the charge of the Light Brigade	Archie Bunker	0
In which war was the charge of the Light Brigade	Strange Foods	0
Who invented the television	John Logie Baird	1
Who invented the television	Diplodocus	0
Who invented the television	Gerald Ford	0
Who invented the television	Anker	0
Who would use a mashie niblick	Golfer	1
Who would use a mashie niblick	Tonga	0
Who would use a mashie niblick	Prince Charles	0
Who would use a mashie niblick	Wool	0
In the song who killed Cock Robin	Sparrow	1
In the song who killed Cock Robin	Nitrogen - Air freezes	0
In the song who killed Cock Robin	Tutankamen tomb	0
In the song who killed Cock Robin	Procul Harem	0
What do deciduous trees do	Lose their leaves in winter	1
What do deciduous trees do	Hippopotamus	0
What do deciduous trees do	A Storm	0
What do deciduous trees do	Alligator	0
If you has caries who would you consult	Dentist - its tooth decay	1
If you has caries who would you consult	Television	0
If you has caries who would you consult	Mr Spock	0
If you has caries who would you consult	A Gale	0
What other name is Mellor’s famously known by	Lady Chatterlys Lover 	1
What other name is Mellor’s famously known by	Dr Martins	0
What other name is Mellor’s famously known by	Green	0
What other name is Mellor’s famously known by	Fencing	0
What did Jack Horner pull from his pie	Plum	1
What did Jack Horner pull from his pie	Windows 95 start-up	0
What did Jack Horner pull from his pie	Vega	0
What did Jack Horner pull from his pie	The Clash	0
How many feet in a fathom	Six	1
How many feet in a fathom	Robert E Lee	0
How many feet in a fathom	Thunderbirds	0
How many feet in a fathom	The / slash	0
which film had song Springtime for Hitler	The Producers	1
which film had song Springtime for Hitler	LP record	0
which film had song Springtime for Hitler	Chocolate	0
which film had song Springtime for Hitler	Window Cleaners	0
Name the legless fighter pilot of ww2	Douglas Bader	1
Name the legless fighter pilot of ww2	Art Galleries	0
Name the legless fighter pilot of ww2	Brains	0
Name the legless fighter pilot of ww2	Lawnmowers	0
What was the name of inn in Treasure Island	Admiral Benbow	1
What was the name of inn in Treasure Island	Gideons	0
What was the name of inn in Treasure Island	Mushroom	0
What was the name of inn in Treasure Island	Tansy	0
What was Erich Weiss better known as	Harry Houdini	1
What was Erich Weiss better known as	Toothbrush	0
What was Erich Weiss better known as	Smokey the Bear	0
What was Erich Weiss better known as	Swastika	0
Who sailed in the Nina - Pinta and Santa Maria	Christopher Columbus	1
Who sailed in the Nina - Pinta and Santa Maria	Topper	0
Who sailed in the Nina - Pinta and Santa Maria	Golf Hole	0
Who sailed in the Nina - Pinta and Santa Maria	Fort	0
Which leader died in St Helena	Napoleon Bonaparte	1
Which leader died in St Helena	Horse bits	0
Which leader died in St Helena	Underground	0
Which leader died in St Helena	A motor car	0
Who wrote Gone with the Wind	Margaret Mitchell	1
Who wrote Gone with the Wind	The Sweet	0
Who wrote Gone with the Wind	Gamble	0
Who wrote Gone with the Wind	Danube	0
What does ring a ring a roses refer to	The Black Death	1
What does ring a ring a roses refer to	Cuba	0
What does ring a ring a roses refer to	25th March	0
What does ring a ring a roses refer to	Drag Racing	0
Whose nose grew when he told a lie	Pinocchio	1
Whose nose grew when he told a lie	Constellation	0
Whose nose grew when he told a lie	Ensign Chekov	0
Whose nose grew when he told a lie	Lady Penelope	0
Who has won the most Oscars	Walt Disney	1
Who has won the most Oscars	Sitting on front seat	0
Who has won the most Oscars	Shopping Malls	0
Who has won the most Oscars	Saddlers Wells Opera	0
What would a Scotsman do with a spurtle	Eat porridge (it’s a spoon)	1
What would a Scotsman do with a spurtle	Nicotine	0
What would a Scotsman do with a spurtle	Andromeda	0
What would a Scotsman do with a spurtle	Bellerophon	0
Which award has the words for valour on it	Victoria Cross	1
Which award has the words for valour on it	Wilber Smith	0
Which award has the words for valour on it	Figures in Ice Skating	0
Which award has the words for valour on it	Tenerife	0
If you had pogonophobia what would you be afraid of	Beards	1
If you had pogonophobia what would you be afraid of	Bridge	0
If you had pogonophobia what would you be afraid of	Arousal by nude pics	0
If you had pogonophobia what would you be afraid of	Diapers on	0
Who would take silk as part of their job	Barrister	1
Who would take silk as part of their job	Captain Hook	0
Who would take silk as part of their job	Proverbs in Bible	0
Who would take silk as part of their job	Press suits	0
Who won an Oscar for the African Queen	Bogart	1
Who won an Oscar for the African Queen	The Four Tops	0
Who won an Oscar for the African Queen	Prevent Catching Pox	0
Who won an Oscar for the African Queen	David Copperfield	0
Who sang the theme song in 9 to 5	Dolly Parton	1
Who sang the theme song in 9 to 5	Cow	0
Who sang the theme song in 9 to 5	Chekov	0
Who sang the theme song in 9 to 5	Bismuth	0
What in business terms is the IMF	International Monetary Fund	1
What in business terms is the IMF	Cotton	0
What in business terms is the IMF	Desert	0
What in business terms is the IMF	Dante	0
Ringo Star narrates which children's TV series	Thomas the tank engine	1
Ringo Star narrates which children's TV series	Pierre Cardin	0
Ringo Star narrates which children's TV series	Karate	0
